mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,mse_no_re,mse,mae,mse_trim,r2,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,sig_ratio,nll_train,nll_test,n_epochs,time
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,lmmnn,2.76965,1.46899,0.898918,0.98824,0.583658,1.22174,1.21817,1.01909,0.49927,1632.58,1744.26,50,17.0109
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,copnn,2.8581,1.5834,0.916257,1.00608,0.550616,1.21983,0.903016,0.943189,0.425379,1583.55,1692.52,50,24.1648
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ignore,1.83512,1.83512,0.995438,1.22635,0.435259,,,,,,,50,8.0296
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ohe,1.49153,1.49153,0.927025,1.05574,0.530434,,,,,,,50,14.7195
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,embed,1.32572,1.32572,0.852042,0.879451,0.605675,,,,,,,50,14.1415
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,lmmnn,2.2337,1.17141,0.810733,0.791086,0.633023,1.15413,1.05362,1.10054,0.477237,1507.24,1579.13,50,50.0326
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,copnn,2.21088,1.163,0.807241,0.785785,0.634229,1.15465,1.21062,1.04686,0.511833,1426.39,1502.02,50,58.5457
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ignore,1.84867,1.84867,0.991021,1.23084,0.380482,,,,,,,50,8.15163
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ohe,1.36748,1.36748,0.879631,0.952741,0.528806,,,,,,,50,14.6297
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,1.31583,1.31583,0.851086,0.889669,0.578105,,,,,,,50,14.3353
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,1.98168,1.13007,0.79405,0.770063,0.612601,1.10342,0.828637,0.834733,0.428887,1479.4,1554.07,50,50.2113
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,1.96693,1.1126,0.789679,0.756208,0.617647,1.17562,1.07585,0.852558,0.477844,1412.26,1475.6,50,58.8709
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,1.95682,1.95682,1.02041,1.28849,0.422242,,,,,,,50,7.91213
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,1.44453,1.44453,0.905416,1.00765,0.554275,,,,,,,50,14.4724
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,1.37605,1.37605,0.865969,0.921946,0.600751,,,,,,,50,14.2411
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,2.26938,1.19945,0.820999,0.821522,0.635588,1.19585,1.07574,0.975112,0.473562,1518.42,1584.84,50,50.3024
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,copnn,2.25675,1.17237,0.80983,0.799628,0.642063,1.18436,1.19403,0.977865,0.502033,1439.61,1500.91,50,58.7751
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ignore,2.01023,2.01023,1.03392,1.33104,0.385223,,,,,,,50,8.00472
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ohe,1.4431,1.4431,0.908801,1.01168,0.551122,,,,,,,50,14.7
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,embed,1.38033,1.38033,0.868623,0.924257,0.591904,,,,,,,50,14.0533
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,lmmnn,2.2314,1.16757,0.813829,0.805297,0.635148,1.17532,1.12299,1.10552,0.488615,1506.49,1575.08,50,50.4281
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,copnn,2.25058,1.17091,0.813718,0.804415,0.634216,1.17611,1.23956,1.12222,0.513134,1427.86,1496.8,50,60.5856
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ignore,1.65344,1.65344,0.945886,1.09849,0.436639,,,,,,,50,7.91004
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ohe,1.35279,1.35279,0.88211,0.951432,0.52774,,,,,,,50,14.5132
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,embed,1.23716,1.23716,0.82845,0.834927,0.582312,,,,,,,50,14.4975
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,lmmnn,1.93196,1.09386,0.781103,0.739284,0.621136,1.11717,0.807966,0.777317,0.419692,1489.75,1543.11,50,50.761
spatial,50000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,copnn,1.90892,1.09998,0.78558,0.747344,0.618593,1.17706,1.06426,0.90708,0.474836,1428.74,1478.24,50,59.0376
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ignore,1.53043,1.53043,0.906259,1.0224,0.468304,,,,,,,50,13.371
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,ohe,1.24175,1.24175,0.837365,0.861287,0.552157,,,,,,,50,26.3725
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,embed,1.16956,1.16956,0.796883,0.779064,0.598121,,,,,,,50,20.8373
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,lmmnn,1.8498,1.08923,0.77983,0.746961,0.608982,1.07007,0.791157,1.01701,0.425072,1461.07,1507.3,50,87.0705
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,copnn,1.81689,1.0703,0.77444,0.731736,0.614272,1.11916,1.13012,1.16183,0.502436,1380.57,1425.83,50,96.5986
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ignore,1.6079,1.6079,0.92412,1.05986,0.493522,,,,,,,50,13.2512
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ohe,1.30001,1.30001,0.860197,0.907119,0.575274,,,,,,,50,26.3394
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,1.21412,1.21412,0.812722,0.805976,0.619175,,,,,,,50,20.7939
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,2.07897,1.12907,0.798834,0.778146,0.62967,1.11314,0.949036,0.924671,0.460211,1485.91,1527.19,50,87.0362
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,2.06687,1.11965,0.796136,0.77328,0.632602,1.13853,1.2425,0.967318,0.521832,1411.2,1452.18,50,97.2824
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,1.58946,1.58946,0.915377,1.02803,0.479803,,,,,,,50,12.969
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,1.28809,1.28809,0.850255,0.882429,0.564312,,,,,,,50,26.018
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,1.20778,1.20778,0.810007,0.793583,0.61052,,,,,,,50,20.2053
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,2.01455,1.11356,0.788119,0.752969,0.624229,1.09907,0.896922,1.11433,0.449363,1473.21,1520.09,50,86.78
